Date_Time,Date,Time,Month,Weekday,Day,Day_in_Year,Week,Weekend,Electric_Use,hour,Season,TOU,TOU_Rate,TOU_Cost,Regular_Rate,Regular_Cost,Mean,Max,Min,Minute,elapsed_time
2016-01-01T19:00:00Z,2016-01-01,19:00:00,Jan,Fri,1,1,1,0,1.454728333,19,Winter,Peak,0.22385,0.162820469,0.11742,0.0854071,0.791694398,4.120961667,0.193843889,0,0.5
2016-01-01T19:30:00Z,2016-01-01,19:30:00,Jan,Fri,1,1,1,0,4.120961667,19,Winter,Peak,0.22385,0.461238635,0.11742,0.241941659,0.791694398,4.120961667,0.193843889,30,0.5
2016-01-01T20:00:00Z,2016-01-01,20:00:00,Jan,Fri,1,1,1,0,0.805597778,20,Winter,Mid-Peak,0.1043,0.042011924,0.11742,0.047296646,0.791694398,4.120961667,0.193843889,0,0.5
2016-01-01T20:30:00Z,2016-01-01,20:30:00,Jan,Fri,1,1,1,0,0.765733333,20,Winter,Mid-Peak,0.1043,0.039932993,0.11742,0.044956204,0.791694398,4.120961667,0.193843889,30,0.5
2016-01-01T21:00:00Z,2016-01-01,21:00:00,Jan,Fri,1,1,1,0,0.734721111,21,Winter,Mid-Peak,0.1043,0.038315706,0.11742,0.043135476,0.791694398,4.120961667,0.193843889,0,0.5
2016-01-01T21:30:00Z,2016-01-01,21:30:00,Jan,Fri,1,1,1,0,0.484924444,21,Winter,Mid-Peak,0.1043,0.02528881,0.11742,0.028469914,0.791694398,4.120961667,0.193843889,30,0.5
2016-01-01T22:00:00Z,2016-01-01,22:00:00,Jan,Fri,1,1,1,0,0.474342778,22,Winter,Mid-Peak,0.1043,0.024736976,0.11742,0.027848664,0.791694398,4.120961667,0.193843889,0,0.5
2016-01-01T22:30:00Z,2016-01-01,22:30:00,Jan,Fri,1,1,1,0,0.708181111,22,Winter,Mid-Peak,0.1043,0.036931645,0.11742,0.041577313,0.791694398,4.120961667,0.193843889,30,0.5
2016-01-01T23:00:00Z,2016-01-01,23:00:00,Jan,Fri,1,1,1,0,0.45792,23,Winter,Mid-Peak,0.1043,0.023880528,0.11742,0.026884483,0.791694398,4.120961667,0.193843889,0,0.5
2016-01-01T23:30:00Z,2016-01-01,23:30:00,Jan,Fri,1,1,1,0,0.575707778,23,Winter,Mid-Peak,0.1043,0.030023161,0.11742,0.033799804,0.791694398,4.120961667,0.193843889,30,0.5
2016-01-02T00:00:00Z,2016-01-02,00:00:00,Jan,Sat,2,2,1,1,0.413947222,0,Winter,Off-Peak,0.05676,0.011747822,0.11742,0.024302841,0.463840845,0.800912222,0.228559444,0,0.5
2016-01-02T00:30:00Z,2016-01-02,00:30:00,Jan,Sat,2,2,1,1,0.317841667,0,Winter,Off-Peak,0.05676,0.009020347,0.11742,0.018660484,0.463840845,0.800912222,0.228559444,30,0.5
2016-01-02T01:00:00Z,2016-01-02,01:00:00,Jan,Sat,2,2,1,1,0.253890556,1,Winter,Off-Peak,0.05676,0.007205414,0.11742,0.014905915,0.463840845,0.800912222,0.228559444,0,0.5
2016-01-02T01:30:00Z,2016-01-02,01:30:00,Jan,Sat,2,2,1,1,0.358556667,1,Winter,Off-Peak,0.05676,0.010175838,0.11742,0.021050862,0.463840845,0.800912222,0.228559444,30,0.5
2016-01-02T02:00:00Z,2016-01-02,02:00:00,Jan,Sat,2,2,1,1,0.262995556,2,Winter,Off-Peak,0.05676,0.007463814,0.11742,0.015440469,0.463840845,0.800912222,0.228559444,0,0.5
2016-01-02T02:30:00Z,2016-01-02,02:30:00,Jan,Sat,2,2,1,1,0.233137222,2,Winter,Off-Peak,0.05676,0.006616434,0.11742,0.013687486,0.463840845,0.800912222,0.228559444,30,0.5
2016-01-02T03:00:00Z,2016-01-02,03:00:00,Jan,Sat,2,2,1,1,0.376184444,3,Winter,Off-Peak,0.05676,0.010676115,0.11742,0.022085789,0.463840845,0.800912222,0.228559444,0,0.5
2016-01-02T03:30:00Z,2016-01-02,03:30:00,Jan,Sat,2,2,1,1,0.580298333,3,Winter,Off-Peak,0.05676,0.016468867,0.11742,0.034069315,0.463840845,0.800912222,0.228559444,30,0.5
2016-01-02T04:00:00Z,2016-01-02,04:00:00,Jan,Sat,2,2,1,1,0.242136111,4,Winter,Off-Peak,0.05676,0.006871823,0.11742,0.014215811,0.463840845,0.800912222,0.228559444,0,0.5
2016-01-02T04:30:00Z,2016-01-02,04:30:00,Jan,Sat,2,2,1,1,0.764111667,4,Winter,Off-Peak,0.05676,0.021685489,0.11742,0.044860996,0.463840845,0.800912222,0.228559444,30,0.5
2016-01-02T05:00:00Z,2016-01-02,05:00:00,Jan,Sat,2,2,1,1,0.664913333,5,Winter,Off-Peak,0.05676,0.01887024,0.11742,0.039037062,0.463840845,0.800912222,0.228559444,0,0.5
2016-01-02T05:30:00Z,2016-01-02,05:30:00,Jan,Sat,2,2,1,1,0.708185556,5,Winter,Off-Peak,0.05676,0.020098306,0.11742,0.041577574,0.463840845,0.800912222,0.228559444,30,0.5
2016-01-02T06:00:00Z,2016-01-02,06:00:00,Jan,Sat,2,2,1,1,0.580906111,6,Winter,Mid-Peak,0.1043,0.030294254,0.11742,0.034104998,0.463840845,0.800912222,0.228559444,0,0.5
2016-01-02T06:30:00Z,2016-01-02,06:30:00,Jan,Sat,2,2,1,1,0.47637,6,Winter,Mid-Peak,0.1043,0.024842696,0.11742,0.027967683,0.463840845,0.800912222,0.228559444,30,0.5
2016-01-02T07:00:00Z,2016-01-02,07:00:00,Jan,Sat,2,2,1,1,0.589125,7,Winter,Mid-Peak,0.1043,0.030722869,0.11742,0.034587529,0.463840845,0.800912222,0.228559444,0,0.5
2016-01-02T07:30:00Z,2016-01-02,07:30:00,Jan,Sat,2,2,1,1,0.502860556,7,Winter,Mid-Peak,0.1043,0.026224178,0.11742,0.029522943,0.463840845,0.800912222,0.228559444,30,0.5
2016-01-02T08:00:00Z,2016-01-02,08:00:00,Jan,Sat,2,2,1,1,0.479395556,8,Winter,Mid-Peak,0.1043,0.025000478,0.11742,0.028145313,0.463840845,0.800912222,0.228559444,0,0.5
2016-01-02T08:30:00Z,2016-01-02,08:30:00,Jan,Sat,2,2,1,1,0.552455556,8,Winter,Mid-Peak,0.1043,0.028810557,0.11742,0.032434666,0.463840845,0.800912222,0.228559444,30,0.5
2016-01-02T09:00:00Z,2016-01-02,09:00:00,Jan,Sat,2,2,1,1,0.435627222,9,Winter,Mid-Peak,0.1043,0.02271796,0.11742,0.025575674,0.463840845,0.800912222,0.228559444,0,0.5
2016-01-02T09:30:00Z,2016-01-02,09:30:00,Jan,Sat,2,2,1,1,0.488237778,9,Winter,Mid-Peak,0.1043,0.0254616,0.11742,0.02866444,0.463840845,0.800912222,0.228559444,30,0.5
2016-01-02T10:00:00Z,2016-01-02,10:00:00,Jan,Sat,2,2,1,1,0.523694444,10,Winter,Mid-Peak,0.1043,0.027310665,0.11742,0.030746101,0.463840845,0.800912222,0.228559444,0,0.5
2016-01-02T10:30:00Z,2016-01-02,10:30:00,Jan,Sat,2,2,1,1,0.386056111,10,Winter,Mid-Peak,0.1043,0.020132826,0.11742,0.022665354,0.463840845,0.800912222,0.228559444,30,0.5
2016-01-02T11:00:00Z,2016-01-02,11:00:00,Jan,Sat,2,2,1,1,0.311972222,11,Winter,Mid-Peak,0.1043,0.016269351,0.11742,0.018315889,0.463840845,0.800912222,0.228559444,0,0.5
2016-01-02T11:30:00Z,2016-01-02,11:30:00,Jan,Sat,2,2,1,1,0.276519444,11,Winter,Mid-Peak,0.1043,0.014420489,0.11742,0.016234457,0.463840845,0.800912222,0.228559444,30,0.5
2016-01-02T12:00:00Z,2016-01-02,12:00:00,Jan,Sat,2,2,1,1,0.228559444,12,Winter,Mid-Peak,0.1043,0.011919375,0.11742,0.013418725,0.463840845,0.800912222,0.228559444,0,0.5
2016-01-02T12:30:00Z,2016-01-02,12:30:00,Jan,Sat,2,2,1,1,0.458873889,12,Winter,Mid-Peak,0.1043,0.023930273,0.11742,0.026940486,0.463840845,0.800912222,0.228559444,30,0.5
2016-01-02T13:00:00Z,2016-01-02,13:00:00,Jan,Sat,2,2,1,1,0.321561667,13,Winter,Mid-Peak,0.1043,0.016769441,0.11742,0.018878885,0.463840845,0.800912222,0.228559444,0,0.5
2016-01-02T13:30:00Z,2016-01-02,13:30:00,Jan,Sat,2,2,1,1,0.3513,13,Winter,Mid-Peak,0.1043,0.018320295,0.11742,0.020624823,0.463840845,0.800912222,0.228559444,30,0.5
