Date_Time,Date,Time,Coal,Gas,Hydro,Nuclear,Other,Wind,Total,Renewable,NonRenewable,Fossil_Fuel,Clean,Pct_Renew,Pct_Clean,Total_Carbon,Carbon_per_MWh,Carbon_per_kWh
2016-10-28T21:00:00Z,2016-10-28,21:00:00,8801.7,308,299.8,2340.9,206.8,6424.1,18381.3,6930.700000000001,11450.6,9109.7,9271.6,37.70516775200884,50.44039322572398,8580145.820000002,466.7866701484662,0.4667866701484662
2016-10-28T22:00:00Z,2016-10-28,22:00:00,7613.8,276.2,299.8,2340.9,206.8,6418.2,17155.7,6924.8,10230.9,7890,9265.7,40.364426983451565,54.009454583607784,7426119.2,432.8659978899141,0.43286599788991414
2016-10-28T23:00:00Z,2016-10-28,23:00:00,6854.8,275,299.8,2340.9,206.89999999999998,6341.7,16319.099999999999,6848.4,9470.7,7129.8,9189.3,41.96554957074839,56.31009062999798,6696535.88,410.3495830039647,0.41034958300396474
2016-10-29T00:00:00Z,2016-10-29,00:00:00,6229.1,275,299.8,2340.9,206.89999999999998,6061.8,15413.5,6568.5,8845,6504.1,8909.4,42.61523988711195,57.80257566419048,6095488.460000001,395.4642657410712,0.3954642657410712
2016-10-29T01:00:00Z,2016-10-29,01:00:00,6590.1,281,241.8,2342.9,149.2,5492.3,15097.300000000003,5883.3,9214,6871.1,8226.2,38.96921966179382,54.4878885628556,6444704.66,426.87796228464686,0.42687796228464686
2016-10-29T02:00:00Z,2016-10-29,02:00:00,6610.4,281,241.8,2342.9,147.7,5134.9,14758.7,5524.4,9234.3,6891.4,7867.299999999999,37.43148109250814,53.30618550414331,6464204.84,437.9928340572001,0.43799283405720013
2016-10-29T03:00:00Z,2016-10-29,03:00:00,6304.1,281,241.8,2342.9,148.8,5018.7,14337.3,5409.3,8928,6585.1,7752.200000000001,37.72886108263062,54.07015267867731,6169973.0600000005,430.3441415050254,0.43034414150502537
2016-10-29T04:00:00Z,2016-10-29,04:00:00,6272.1,282,241.8,2370.9,149,5109.2,14425,5500,8925,6554.1,7870.9,38.128249566724435,54.56429809358752,6139640.460000001,425.6249885615252,0.4256249885615252
2016-10-29T05:00:00Z,2016-10-29,05:00:00,6729.8,282,241.8,2370.9,156.3,5163.7,14944.5,5561.8,9382.7,7011.8,7932.700000000001,37.216367225400646,53.08106661313528,6579307.08,440.2493947606143,0.44024939476061425
2016-10-29T06:00:00Z,2016-10-29,06:00:00,8575.4,317,241.8,2369.9,186.3,4906.6,16597,5334.700000000001,11262.3,8892.4,7704.6,32.142555883593424,46.42164246550582,8366421.44,504.0923926010725,0.5040923926010725
